Column
User id
Day in study
Week day
Cycle number
Cycle day
First day of period
"Period (0-no, 1-yes)"
"Scapula pain right side (0-no pain, 10-worst pain)"
"Scapula pain left side (0-no pain, 10-worst pain)"
"Abdominal stabbing pain (0-no pain, 10-worst pain)"
"Numbness in the lower back (0-no pain, 4-worst pain)"
"Pain after intercourse (0-no pain, 10-worst pain)"
"Burning sensation during intercourse (0-no pain, 10-worst pain)"
"Burning sensation after intercourse (0-no pain, 10-worst pain)"
"Incomplete urination (0-no pain, 10-worst pain)"
"Pelvic pain / groin pain / pain radiating down the leg (0-no pain, 10-worst pain)"
"Asthma (0-no asthma, 4-worst asthma)"
"Neck and scapula pain (0-no pain, 10-worst pain)"
"Sound / smell sensitivity (0-no sensitivity, 4-worst sensitivity)"
"Shaking / cold sensitivity (0-no pain, 4-worst pain)"
"Lower back pain and pelvic pain (0-no pain, 10-worst pain)"
"Muscle pain / flu like (0-no pain, 10-worst pain)"
Voltaren gel (times)
"Vaginal dryness (0-no dryness, 4-most dryness)"
"Migraines (0-no pain, 10-worst pain)"
"Vaginal pain (0-no pain, 10-worst pain)"
"Rectal bleeding (0-no bleeding, 10-worst bleeding)"
"Groin pain (0-no pain, 10-worst pain)"
"Bladder pain (0-no pain, 10-worst pain)"
"Depression / feeling sad (0-no depression, 10-worst depression)"
"Burning urination (0-no burning, 10-most burning)"
"ADHD (0-no adhd, 10-worst adhd)"
"Sciatic pain - left side (0-no pain, 10-worst pain)"
"Lower abdominal stabbing / dull-aching pain (0-no pain, 10-worst pain)"
"Feeling sad (0-no sadness, 10-worst sadness)"
"Low blood pressure (0-no pain, 10-worst pain)"
"Painful orgasm (0-no pain, 10-worst pain)"
"General pain (0-no pain, 10-worst pain)"
Carbosylane (times)
Heating pad (times)
"Muscle weakness (0-no pain, 10-worst pain)"
"Buttock pain left (0-no pain, 10-worst pain)"
"Energy (0-no energy, 10-most energy)"
"Feet weakness (0-no pain, 10-worst pain)"
"Hands weakness / wrist pain (0-no pain, 10-worst pain)"
Etopan (times)
"Shortness of breath (0-no pain, 10-worst pain)"
